timestamp,full 10 (percent),full 60 (percent),full 300 (percent),anomaly%,annotations
1781910009000,0,0,0,-,-
1781910018000,0,0,0,-,-
1781910027000,0,0,0,-,-
1781910036000,0,0,0,-,-
1781910045000,0,0,0,-,-
1781910054000,0,0,0,-,-
1781910063000,0,0,0,-,-
1781910072000,0,0,0,-,-
1781910081000,0,0,0,-,-
1781910090000,0,0,0,-,-
1781910099000,0,0,0,-,-
1781910108000,0,0,0,-,-
1781910117000,0,0,0,-,-
1781910126000,0,0,0,-,-
1781910135000,0,0,0,-,-
1781910144000,0,0,0,-,-
1781910153000,0,0,0,-,-
1781910162000,0,0,0,-,-
1781910171000,0,0,0,-,-
1781910180000,0,0,0,-,-
1781910189000,0,0,0,-,-
1781910198000,0,0,0,-,-
1781910207000,0,0,0,-,-
1781910216000,0,0,0,-,-
1781910225000,0,0,0,-,-
1781910234000,0,0,0,-,-
1781910243000,0,0,0,-,-
1781910252000,0,0,0,-,-
1781910261000,0,0,0,-,-
1781910270000,0,0,0,-,-
1781910279000,0,0,0,-,-
1781910288000,0,0,0,-,-
1781910297000,0,0,0,-,-
1781910306000,0,0,0,-,-
1781910315000,0,0,0,-,-
1781910324000,0,0,0,-,-
1781910333000,0,0,0,-,-
1781910342000,0,0,0,-,-
1781910351000,0,0,0,-,-
1781910360000,0,0,0,-,-
1781910369000,0,0,0,-,-
1781910378000,0,0,0,-,-
1781910387000,0,0,0,-,-
1781910396000,0,0,0,-,-
1781910405000,0,0,0,-,-
1781910414000,0,0,0,-,-
1781910423000,0,0,0,-,-
1781910432000,0,0,0,-,-
1781910441000,0,0,0,-,-
1781910450000,0,0,0,-,-
1781910459000,0,0,0,-,-
1781910468000,0,0,0,-,-
1781910477000,0,0,0,-,-
1781910486000,0,0,0,-,-
1781910495000,0,0,0,-,-
1781910504000,0,0,0,-,-
1781910513000,0,0,0,-,-
1781910522000,0,0,0,-,-
1781910531000,0,0,0,-,-
1781910540000,0,0,0,-,-
1781910549000,0,0,0,-,-
1781910558000,0,0,0,-,-
1781910567000,0,0,0,-,-
1781910576000,0,0,0,-,-
1781910585000,0,0,0,-,-
1781910594000,0,0,0,-,-
1781910603000,0,0,0,-,-
1781910612000,0,0,0,-,-
1781910621000,0,0,0,-,-
1781910630000,0,0,0,-,-
1781910639000,0,0,0,-,-
1781910648000,0,0,0,-,-
1781910657000,0,0,0,-,-
1781910666000,0,0,0,-,-
1781910675000,0,0,0,-,-
1781910684000,0,0,0,-,-
1781910693000,0,0,0,-,-
1781910702000,0,0,0,-,-
1781910711000,0,0,0,-,-
1781910720000,0,0,0,-,-
1781910729000,0,0,0,-,-
1781910738000,0,0,0,-,-
1781910747000,0,0,0,-,-
1781910756000,0,0,0,-,-
1781910765000,0,0,0,-,-
1781910774000,0,0,0,-,-
1781910783000,0,0,0,-,-
1781910792000,0,0,0,-,-
1781910801000,0,0,0,-,-
1781910810000,0,0,0,-,-
1781910819000,0,0,0,-,-
1781910828000,0,0,0,-,-
1781910837000,0,0,0,-,-
1781910846000,0,0,0,-,-
1781910855000,0,0,0,-,-
1781910864000,0,0,0,-,-
1781910873000,0,0,0,-,-
1781910882000,0,0,0,-,-
1781910891000,0,0,0,-,-
1781910900000,0,0,0,-,-
1781910909000,0,0,0,-,-
1781910918000,0,0,0,-,-
1781910927000,0,0,0,-,-
1781910936000,0,0,0,-,-
1781910945000,0,0,0,-,-
1781910954000,0,0,0,-,-
1781910963000,0,0,0,-,-
1781910972000,0,0,0,-,-
1781910981000,0,0,0,-,-
1781910990000,0,0,0,-,-
1781910999000,0,0,0,-,-
1781911008000,0,0,0,-,-
1781911017000,0,0,0,-,-
1781911026000,0,0,0,-,-
1781911035000,0,0,0,-,-
1781911044000,0,0,0,-,-
1781911053000,0,0,0,-,-
1781911062000,0,0,0,-,-
1781911071000,0,0,0,-,-
1781911080000,0,0,0,-,-
1781911089000,0,0,0,-,-
1781911098000,0,0,0,-,-
1781911107000,0,0,0,-,-
1781911116000,0,0,0,-,-
1781911125000,0,0,0,-,-
1781911134000,0,0,0,-,-
1781911143000,0,0,0,-,-
1781911152000,0,0,0,-,-
1781911161000,0,0,0,-,-
1781911170000,0,0,0,-,-
1781911179000,0,0,0,-,-
1781911188000,0,0,0,-,-
1781911197000,0,0,0,-,-
1781911206000,0,0,0,-,-
1781911215000,0,0,0,-,-
1781911224000,0,0,0,-,-
1781911233000,0,0,0,-,-
1781911242000,0,0,0,-,-
1781911251000,0,0,0,-,-
1781911260000,0,0,0,-,-
1781911269000,0,0,0,-,-
1781911278000,0,0,0,-,-
1781911287000,0,0,0,-,-
1781911296000,0,0,0,-,-
1781911305000,0,0,0,-,-
1781911314000,0,0,0,-,-
1781911323000,0.1139562,0.0194927,0,-,-
1781911332000,0.0605975,0.02,0,-,-
1781911341000,0.0194926,0.02,0,-,-
1781911350000,0.0018659,0.0118659,0,-,-
1781911359000,0,0.01,0,-,-
1781911368000,0,0.01,0,-,-
1781911377000,0,0.0034926,0,-,-
1781911386000,0,0,0,-,-
1781911395000,0,0,0,-,-
1781911404000,0,0,0,-,-
1781911413000,0,0,0,-,-
1781911422000,0,0,0,-,-
1781911431000,0,0,0,-,-
1781911440000,0,0,0,-,-
1781911449000,0,0,0,-,-
1781911458000,0,0,0,-,-
1781911467000,0,0,0,-,-
1781911476000,0,0,0,-,-
1781911485000,0,0,0,-,-
1781911494000,0,0,0,-,-
1781911503000,0,0,0,-,-
1781911512000,0,0,0,-,-
1781911521000,0,0,0,-,-
1781911530000,0,0,0,-,-
1781911539000,0,0,0,-,-
1781911548000,0,0,0,-,-
1781911557000,0,0,0,-,-
1781911566000,0,0,0,-,-
1781911575000,0,0,0,-,-
1781911584000,0,0,0,-,-
1781911593000,0,0,0,-,-
1781911602000,0,0,0,-,-
1781911611000,0,0,0,-,-
1781911620000,0,0,0,-,-
1781911629000,0,0,0,-,-
1781911638000,0,0,0,-,-
1781911647000,0,0,0,-,-
1781911656000,0,0,0,-,-
1781911665000,0,0,0,-,-
1781911674000,0,0,0,-,-
1781911683000,0,0,0,-,-
1781911692000,0,0,0,-,-
1781911701000,0,0,0,-,-
1781911710000,0,0,0,-,-
1781911719000,0,0,0,-,-
1781911728000,0,0,0,-,-
1781911737000,0,0,0,-,-
1781911746000,0,0,0,-,-
1781911755000,0,0,0,-,-
1781911764000,0,0,0,-,-
1781911773000,0,0,0,-,-
1781911782000,0,0,0,-,-
1781911791000,0,0,0,-,-
1781911800000,0,0,0,-,-
1781911809000,0,0,0,-,-
1781911818000,0,0,0,-,-
1781911827000,0,0,0,-,-
1781911836000,0,0,0,-,-
1781911845000,0,0,0,-,-
1781911854000,0,0,0,-,-
1781911863000,0,0,0,-,-
1781911872000,0,0,0,-,-
1781911881000,0,0,0,-,-
1781911890000,0,0,0,-,-
1781911899000,0,0,0,-,-
1781911908000,0,0,0,-,-
1781911917000,0,0,0,-,-
1781911926000,0,0,0,-,-
1781911935000,0,0,0,-,-
1781911944000,0,0,0,-,-
1781911953000,0,0,0,-,-
1781911962000,0.4175,0.0825,0.015,-,-
1781911971000,0.4338521,0.1352522,0.0285066,-,-
1781911980000,0.1780631,0.1168661,0.0268662,-,-
1781911989000,0.0694797,0.101,0.02,-,-
1781911998000,0.0268657,0.085,0.02,-,-
1781912007000,0.006,0.0724925,0.02,-,-
1781912016000,0,0.06,0.02,-,-
